word	count	candidate	count	score	difference
hezro	2	hezron	22	1.0	Added 'n' at position 6
sonin	2	songin	22	1.0	Added 'g' at position 4
aneilo	2	aneilou	22	1.0	Added 'u' at position 7
thinna	2	thingna	22	1.0	Added 'g' at position 5
anelou	2	aneilou	22	1.0	Added 'i' at position 4
alendoh	2	alhendoh	22	1.0	Added 'h' at position 3
thangse	2	thangset	22	1.0	Added 't' at position 8
aon	2	akon	21	1.0	Added 'k' at position 2
asi	2	asim	21	1.0	Added 'm' at position 4
asi	2	asia	21	1.0	Added 'a' at position 4
agap	2	angap	21	1.0	Added 'n' at position 2
kihe	2	kithe	21	1.0	Added 't' at position 3
kita	2	kitna	21	1.0	Added 'n' at position 4
kita	2	kitha	21	1.0	Added 'h' at position 4
phala	2	phalai	21	1.0	Added 'i' at position 6
jouvu	2	jouvun	21	1.0	Added 'n' at position 6
de	2	dem	20	1.0	Added 'm' at position 3
adina	2	adihna	20	1.0	Added 'h' at position 4
gampa	2	gampha	20	1.0	Added 'h' at position 5
galhat	2	gal-hat	20	1.0	Added '-' at position 4
chenin	2	chengin	20	1.0	Added 'g' at position 5
aph	2	aphe	19	1.0	Added 'e' at position 4
kapi	2	kapui	19	1.0	Added 'u' at position 4
kadu	2	kadou	19	1.0	Added 'o' at position 4
naje	2	najep	19	1.0	Added 'p' at position 5
kago	2	kagol	19	1.0	Added 'l' at position 5
hala	2	halsa	19	1.0	Added 's' at position 4
laisa	2	laisea	19	1.0	Added 'e' at position 5
akhet	2	akihet	19	1.0	Added 'i' at position 3
akiche	2	akichen	19	1.0	Added 'n' at position 7
apumin	2	apumpin	19	1.0	Added 'p' at position 5
apumpi	2	apumpin	19	1.0	Added 'n' at position 7
khangli	2	khanglui	19	1.0	Added 'u' at position 7
lhungta	2	lhungtai	19	1.0	Added 'i' at position 8
athenlou	2	athenglou	19	1.0	Added 'g' at position 6
lua	2	luma	18	1.0	Added 'm' at position 3
aoma	2	agoma	18	1.0	Added 'g' at position 2
khal	2	kahal	18	1.0	Added 'a' at position 2
kaha	2	kahal	18	1.0	Added 'l' at position 5
ahisa	2	ahisah	18	1.0	Added 'h' at position 6
ngana	2	ngapna	18	1.0	Added 'p' at position 4
anachen	2	anacheng	18	1.0	Added 'g' at position 8
ahengin	2	achengin	18	1.0	Added 'c' at position 2
akia	2	akipa	17	1.0	Added 'p' at position 4
kaina	2	khaina	17	1.0	Added 'h' at position 2
sahin	2	sahing	17	1.0	Added 'g' at position 6
munin	2	muntin	17	1.0	Added 't' at position 4
kihoh	2	kichoh	17	1.0	Added 'c' at position 3
kadalha	2	kadalhah	17	1.0	Added 'h' at position 8
aph	2	apho	16	1.0	Added 'o' at position 4
jei	2	jehi	16	1.0	Added 'h' at position 3
akiu	2	akisu	16	1.0	Added 's' at position 4
kapo	2	kapoh	16	1.0	Added 'h' at position 5
khat'	2	khat'a	16	1.0	Added 'a' at position 6
ngana	2	ngaina	16	1.0	Added 'i' at position 4
anatai	2	anaitai	16	1.0	Added 'i' at position 4
dingha	2	dingham	16	1.0	Added 'm' at position 7
aseuvin	2	asemuvin	16	1.0	Added 'm' at position 4
amanuvin	2	amanguvin	16	1.0	Added 'g' at position 5
nainsunga	2	na-insunga	16	1.0	Added '-' at position 3
l	2	lu	15	1.0	Added 'u' at position 2
khe	2	kahe	15	1.0	Added 'a' at position 2
doa	2	dona	15	1.0	Added 'n' at position 3
kaha	2	kacha	15	1.0	Added 'c' at position 3
ahila	2	ahilna	15	1.0	Added 'n' at position 5
akihan	2	akichan	15	1.0	Added 'c' at position 4
tolhang	2	tollhang	15	1.0	Added 'l' at position 4
kipasah	2	kipansah	15	1.0	Added 'n' at position 5
lat	2	lhat	14	1.0	Added 'h' at position 2
alhe	2	alhem	14	1.0	Added 'm' at position 5
navo	2	navoh	14	1.0	Added 'h' at position 5
alem	2	alhem	14	1.0	Added 'h' at position 3
aang	2	atang	14	1.0	Added 't' at position 2
aimut	2	akimut	14	1.0	Added 'k' at position 2
ahona	2	ahaona	14	1.0	Added 'a' at position 3
neipi	2	neipui	14	1.0	Added 'u' at position 5
phata	2	phatea	14	1.0	Added 'e' at position 5
aogin	2	a-ogin	14	1.0	Added '-' at position 2
neipu	2	neipui	14	1.0	Added 'i' at position 6
akikho	2	akikhol	14	1.0	Added 'l' at position 7
abil-ho	2	abil-hom	14	1.0	Added 'm' at position 8
akithou	2	akaithou	14	1.0	Added 'a' at position 3
akilesah	2	akiletsah	14	1.0	Added 't' at position 6
akihahsela	2	akihahselna	14	1.0	Added 'n' at position 10
bi	2	bih	13	1.0	Added 'h' at position 3
age	2	ageh	13	1.0	Added 'h' at position 4
lua	2	lhua	13	1.0	Added 'h' at position 2
kapi	2	kapei	13	1.0	Added 'e' at position 4
alhe	2	alhep	13	1.0	Added 'p' at position 5
veta	2	vetau	13	1.0	Added 'u' at position 5
kena	2	kenaz	13	1.0	Added 'z' at position 5
hath	2	hatah	13	1.0	Added 'a' at position 4
aang	2	akang	13	1.0	Added 'k' at position 2
aang	2	ajang	13	1.0	Added 'j' at position 2
kiton	2	kitong	13	1.0	Added 'g' at position 6
namna	2	naumna	13	1.0	Added 'u' at position 3
jacha	2	jahcha	13	1.0	Added 'h' at position 3
kahilu	2	kahilou	13	1.0	Added 'o' at position 6
kailou	2	kahilou	13	1.0	Added 'h' at position 3
hitheina	2	haitheina	13	1.0	Added 'a' at position 2
akihondoh	2	akiphondoh	13	1.0	Added 'p' at position 4
kithensoa	2	kithensona	13	1.0	Added 'n' at position 9
aph	2	aphu	12	1.0	Added 'u' at position 4
zil	2	ziel	12	1.0	Added 'e' at position 3
mau	2	manu	12	1.0	Added 'n' at position 3
doa	2	doha	12	1.0	Added 'h' at position 3
khot	2	kahot	12	1.0	Added 'a' at position 2
veta	2	vetna	12	1.0	Added 'n' at position 4
kava	2	kavam	12	1.0	Added 'm' at position 5
pene	2	penge	12	1.0	Added 'g' at position 4
aimut	2	aihmut	12	1.0	Added 'h' at position 3
anapo	2	anapoh	12	1.0	Added 'h' at position 6
anasu	2	anasuh	12	1.0	Added 'h' at position 6
dohan	2	dokhan	12	1.0	Added 'k' at position 3
asuhoh	2	asuhboh	12	1.0	Added 'b' at position 5
kihena	2	kihehna	12	1.0	Added 'h' at position 5
ahingtan	2	alhingtan	12	1.0	Added 'l' at position 2
alengdoh	2	alhengdoh	12	1.0	Added 'h' at position 3
akihomun	2	akikhomun	12	1.0	Added 'k' at position 4
ke	2	kem	11	1.0	Added 'm' at position 3
bi	2	bai	11	1.0	Added 'a' at position 2
kad	2	kada	11	1.0	Added 'a' at position 4
nath	2	natuh	11	1.0	Added 'u' at position 4
bede	2	bed-e	11	1.0	Added '-' at position 4
atea	2	atena	11	1.0	Added 'n' at position 4
agola	2	agolpa	11	1.0	Added 'p' at position 5
kahop	2	kachop	11	1.0	Added 'c' at position 3
kijon	2	kijong	11	1.0	Added 'g' at position 6
hadoh	2	haodoh	11	1.0	Added 'o' at position 3
ahila	2	ahilam	11	1.0	Added 'm' at position 6
haset	2	hamset	11	1.0	Added 'm' at position 3
dingo	2	dingho	11	1.0	Added 'h' at position 5
apudoh	2	apuidoh	11	1.0	Added 'i' at position 4
akilen	2	akilhen	11	1.0	Added 'h' at position 5
lhungta	2	lhungtan	11	1.0	Added 'n' at position 8
akoljin	2	akholjin	11	1.0	Added 'h' at position 3
akosung	2	akhosung	11	1.0	Added 'h' at position 3
angaiha	2	angaicha	11	1.0	Added 'c' at position 6
nahatdoh	2	nalhatdoh	11	1.0	Added 'l' at position 3
ahipeh-in	2	ahinpeh-in	11	1.0	Added 'n' at position 4
gi	2	git	10	1.0	Added 't' at position 3
ach	2	achu	10	1.0	Added 'u' at position 4
aon	2	alon	10	1.0	Added 'l' at position 2
valu	2	valut	10	1.0	Added 't' at position 5
nani	2	nanoi	10	1.0	Added 'o' at position 4
naop	2	nanop	10	1.0	Added 'n' at position 3
abih	2	abihu	10	1.0	Added 'u' at position 5
kita	2	kitia	10	1.0	Added 'i' at position 4
tiel	2	ti-el	10	1.0	Added '-' at position 3
ti-e	2	ti-el	10	1.0	Added 'l' at position 5
asea	2	asema	10	1.0	Added 'm' at position 4
pipa	2	pipua	10	1.0	Added 'u' at position 4
tasa	2	thasa	10	1.0	Added 'h' at position 2
kasi	2	kasil	10	1.0	Added 'l' at position 5
agau	2	agamu	10	1.0	Added 'm' at position 4
kaha	2	kahai	10	1.0	Added 'i' at position 5
seita	2	seitai	10	1.0	Added 'i' at position 6
anaso	2	anasoh	10	1.0	Added 'h' at position 6
thath	2	tahath	10	1.0	Added 'a' at position 2
cheta	2	chetau	10	1.0	Added 'u' at position 6
cheta	2	chetna	10	1.0	Added 'n' at position 5
kaile	2	kahile	10	1.0	Added 'h' at position 3
thipi	2	theipi	10	1.0	Added 'e' at position 3
kapha	2	kaphat	10	1.0	Added 't' at position 6
akiso	2	akison	10	1.0	Added 'n' at position 6
twila	2	twilah	10	1.0	Added 'h' at position 6
kahat	2	kaphat	10	1.0	Added 'p' at position 3
geigol	2	geigola	10	1.0	Added 'a' at position 7
lahsah	2	lhahsah	10	1.0	Added 'h' at position 2
asesoh	2	aseisoh	10	1.0	Added 'i' at position 4
phasah	2	phatsah	10	1.0	Added 't' at position 4
nichen	2	nihchen	10	1.0	Added 'h' at position 3
atouvu	2	atouvun	10	1.0	Added 'n' at position 7
nasodoh	2	nasoldoh	10	1.0	Added 'l' at position 5
akihing	2	akithing	10	1.0	Added 't' at position 4
dinjong	2	dingjong	10	1.0	Added 'g' at position 4
akandoh	2	akhandoh	10	1.0	Added 'h' at position 3
hoithoa	2	hoithona	10	1.0	Added 'n' at position 7
tengtah	2	thengtah	10	1.0	Added 'h' at position 2
thengah	2	thengtah	10	1.0	Added 't' at position 6
ahingho	2	ahinghoi	10	1.0	Added 'i' at position 8
adonuvin	2	adonguvin	10	1.0	Added 'g' at position 5
hinlaise	2	hinlaisen	10	1.0	Added 'n' at position 9
nanailut	2	nangailut	10	1.0	Added 'g' at position 4
l	2	l-	9	1.0	Added '-' at position 2
bi	2	bin	9	1.0	Added 'n' at position 3
mar	2	mare	9	1.0	Added 'e' at position 4
aje	2	ajem	9	1.0	Added 'm' at position 4
nath	2	nathe	9	1.0	Added 'e' at position 5
kaje	2	kajep	9	1.0	Added 'p' at position 5
kaha	2	kah-a	9	1.0	Added '-' at position 4
ajosa	2	ajosah	9	1.0	Added 'h' at position 6
jenpi	2	jengpi	9	1.0	Added 'g' at position 4
kithi	2	kithin	9	1.0	Added 'n' at position 6
kithi	2	kithoi	9	1.0	Added 'o' at position 5
kapha	2	kaphah	9	1.0	Added 'h' at position 6
twila	2	twilam	9	1.0	Added 'm' at position 6
neisu	2	neisuh	9	1.0	Added 'h' at position 6
admin	2	adimin	9	1.0	Added 'i' at position 3
agamin	2	angamin	9	1.0	Added 'n' at position 2
anamin	2	angamin	9	1.0	Added 'g' at position 3
asesoh	2	asemsoh	9	1.0	Added 'm' at position 4
apudoh	2	aphudoh	9	1.0	Added 'h' at position 3
akihan	2	akikhan	9	1.0	Added 'k' at position 4
akonna	2	akhonna	9	1.0	Added 'h' at position 3
ahonna	2	akhonna	9	1.0	Added 'k' at position 2
a-ngah	2	a-angah	9	1.0	Added 'a' at position 3
leh-in	2	lheh-in	9	1.0	Added 'h' at position 2
khonna	2	kihonna	9	1.0	Added 'i' at position 2
kimaito	2	kimaiton	9	1.0	Added 'n' at position 8
ahengin	2	athengin	9	1.0	Added 't' at position 2
kibolda	2	kiboldam	9	1.0	Added 'm' at position 8
lhachale	2	lhachalea	9	1.0	Added 'a' at position 9
apathenin	2	a-pathenin	9	1.0	Added '-' at position 2
eihinsola	2	eihinsolpa	9	1.0	Added 'p' at position 9
aen	2	asen	8	1.0	Added 's' at position 2
mar	2	mark	8	1.0	Added 'k' at position 4
zor	2	zoar	8	1.0	Added 'a' at position 3
jei	2	je-i	8	1.0	Added '-' at position 3
paa	2	pana	8	1.0	Added 'n' at position 3
asi	2	asil	8	1.0	Added 'l' at position 4
kihi	2	kihoi	8	1.0	Added 'o' at position 4
pole	2	polea	8	1.0	Added 'a' at position 5
tosa	2	tohsa	8	1.0	Added 'h' at position 3
kaka	2	kakai	8	1.0	Added 'i' at position 5
kita	2	kitta	8	1.0	Added 't' at position 4
nahu	2	nahuh	8	1.0	Added 'h' at position 5
asea	2	asesa	8	1.0	Added 's' at position 4
gose	2	gosem	8	1.0	Added 'm' at position 5
pula	2	phula	8	1.0	Added 'h' at position 2
gale	2	gamle	8	1.0	Added 'm' at position 3
gale	2	galte	8	1.0	Added 't' at position 4
aang	2	ahang	8	1.0	Added 'h' at position 2
aang	2	a-ang	8	1.0	Added '-' at position 2
kiton	2	kithon	8	1.0	Added 'h' at position 4
anapo	2	anapon	8	1.0	Added 'n' at position 6
denga	2	dengpa	8	1.0	Added 'p' at position 5
kahoh	2	kachoh	8	1.0	Added 'c' at position 3
tahel	2	tahlel	8	1.0	Added 'l' at position 4
aumlo	2	aumlou	8	1.0	Added 'u' at position 6
